Station,Date,Time,Wind Spd (mph),Temp (°F),RH (%),Solar Rad (W/m2),Pressure (mb)
Stanford Met Tower,8/6/26,1100,2.9,70,68,750,1015.8
Stanford Met Tower,8/6/26,1045,3.5,68.4,70,717,1015.8
Stanford Met Tower,8/6/26,1030,2.7,68.7,68,681,1016
Stanford Met Tower,8/6/26,1015,3.7,68.4,70,643,1016.1
Stanford Met Tower,8/6/26,1000,2.5,67.5,73,607,1016.2
Stanford Met Tower,8/6/26,0945,2.5,67.9,70,568,1016.4
Stanford Met Tower,8/6/26,0930,1.8,66.9,74,548,1016.7
Stanford Met Tower,8/6/26,0915,2.5,65.8,76,333,1016.8
Stanford Met Tower,8/6/26,0900,2.1,65,77,240,1016.9
Stanford Met Tower,8/6/26,0845,0.8,64.3,79,198,1016.9
Stanford Met Tower,8/6/26,0830,2.2,64.1,80,173,1016.9
Stanford Met Tower,8/6/26,0815,1.7,63.5,81,143,1016.8
Stanford Met Tower,8/6/26,0800,1.3,62.8,83,97,1016.8
Stanford Met Tower,8/6/26,0745,2.1,62.7,84,67,1016.7
Stanford Met Tower,8/6/26,0730,2.1,62.6,84,55,1016.7
Stanford Met Tower,8/6/26,0715,3.1,62.3,84,41,1016.6
Stanford Met Tower,8/6/26,0700,1.7,62.4,85,23,1016.4
Stanford Met Tower,8/6/26,0645,0.6,62.3,86,11,1016.3
Stanford Met Tower,8/6/26,0630,0.8,62.2,86,3,1016.1
Stanford Met Tower,8/6/26,0615,1.9,62.1,87,1,1016
Stanford Met Tower,8/6/26,0600,2.3,62.2,86,0,1016
Stanford Met Tower,8/6/26,0545,2.4,62.2,86,0,1016
Stanford Met Tower,8/6/26,0530,3.4,62.1,86,0,1015.9
Stanford Met Tower,8/6/26,0515,3.6,62.2,86,0,1015.8
Stanford Met Tower,8/6/26,0500,3,62.3,86,0,1015.8
Stanford Met Tower,8/6/26,0445,0.8,62.4,86,0,1015.6
Stanford Met Tower,8/6/26,0430,2.2,62.4,86,0,1015.6
Stanford Met Tower,8/6/26,0415,3.7,62.5,86,0,1015.7
Stanford Met Tower,8/6/26,0400,3.1,62.6,85,0,1015.6
Stanford Met Tower,8/6/26,0345,3.7,62.8,86,0,1015.6
Stanford Met Tower,8/6/26,0330,5.1,62.3,86,0,1015.7
Stanford Met Tower,8/6/26,0315,3.1,62.2,87,0,1015.6
Stanford Met Tower,8/6/26,0300,3.1,62.2,86,0,1015.4
Stanford Met Tower,8/6/26,0245,3.3,62.2,87,0,1015.5
Stanford Met Tower,8/6/26,0230,2.5,62.1,88,0,1015.6
Stanford Met Tower,8/6/26,0215,0.5,61.9,88,0,1015.6
Stanford Met Tower,8/6/26,0200,2.7,61.6,88,0,1015.7
Stanford Met Tower,8/6/26,0145,3,60.8,90,0,1015.8
Stanford Met Tower,8/6/26,0130,3,60.3,91,0,1016
Stanford Met Tower,8/6/26,0115,1.3,60,93,0,1016
Stanford Met Tower,8/6/26,0100,1.4,59.5,92,0,1016
Stanford Met Tower,8/6/26,0045,3.1,59.7,93,0,1016.1
Stanford Met Tower,8/6/26,0030,3.5,59.3,92,0,1016.1
Stanford Met Tower,8/6/26,0015,3.8,59.5,90,0,1016.1
Stanford Met Tower,8/6/26,0000,2.8,59.9,87,0,1016.2
Stanford Met Tower,8/5/26,2345,2.9,60.7,86,0,1016.1
Stanford Met Tower,8/5/26,2330,2.8,60.8,86,0,1016
Stanford Met Tower,8/5/26,2315,2.8,60.9,83,0,1015.9
Stanford Met Tower,8/5/26,2300,3.3,61.4,84,0,1016
Stanford Met Tower,8/5/26,2245,2.1,61,85,0,1015.9
Stanford Met Tower,8/5/26,2230,1,60.8,86,0,1015.9
Stanford Met Tower,8/5/26,2215,2.9,61.6,85,0,1015.8
Stanford Met Tower,8/5/26,2200,3.4,62.1,84,0,1015.5
Stanford Met Tower,8/5/26,2145,2.4,62.4,83,0,1015.3
Stanford Met Tower,8/5/26,2130,3,62.4,82,0,1015.2
Stanford Met Tower,8/5/26,2115,3.2,63.2,80,0,1014.9
Stanford Met Tower,8/5/26,2100,2,63.3,81,0,1014.6
Stanford Met Tower,8/5/26,2045,3.9,64.2,79,0,1014.4
Stanford Met Tower,8/5/26,2030,3.2,65.6,73,2,1014.3
Stanford Met Tower,8/5/26,2015,3.7,66.6,71,7,1014.1
Stanford Met Tower,8/5/26,2000,3.7,68.2,69,28,1013.9
Stanford Met Tower,8/5/26,1945,3.6,69,67,67,1013.9
Stanford Met Tower,8/5/26,1930,5.1,69.7,64,110,1013.7
Stanford Met Tower,8/5/26,1915,4.9,70.7,65,152,1013.5
Stanford Met Tower,8/5/26,1900,4.6,70.9,65,198,1013.3
Stanford Met Tower,8/5/26,1845,5.8,71.2,66,245,1013.2
Stanford Met Tower,8/5/26,1830,5.1,71.9,63,294,1013.2
Stanford Met Tower,8/5/26,1815,4.2,72.5,62,343,1013.1
Stanford Met Tower,8/5/26,1800,4.1,72.7,63,391,1013
Stanford Met Tower,8/5/26,1745,5.3,72.5,62,440,1012.9
Stanford Met Tower,8/5/26,1730,7,72.7,62,489,1012.8
Stanford Met Tower,8/5/26,1715,7,73.2,63,536,1012.7
Stanford Met Tower,8/5/26,1700,5.4,73.5,61,580,1012.9
Stanford Met Tower,8/5/26,1645,6.5,73.3,62,622,1012.7
Stanford Met Tower,8/5/26,1630,6.8,72.8,61,662,1012.8
Stanford Met Tower,8/5/26,1615,7,73.9,63,701,1012.7
Stanford Met Tower,8/5/26,1600,6.9,73.3,62,738,1012.6
Stanford Met Tower,8/5/26,1545,6.7,73.5,59,770,1012.6
Stanford Met Tower,8/5/26,1530,7.5,72.8,63,800,1012.7
Stanford Met Tower,8/5/26,1515,7.1,72.2,63,825,1012.7
Stanford Met Tower,8/5/26,1500,6.6,72.7,63,849,1012.9
Stanford Met Tower,8/5/26,1445,7.1,72.2,64,868,1013
Stanford Met Tower,8/5/26,1430,7.8,71.8,63,885,1013.3
Stanford Met Tower,8/5/26,1415,6.7,71.8,65,898,1013.4
Stanford Met Tower,8/5/26,1400,7.4,71,66,908,1013.5
Stanford Met Tower,8/5/26,1345,7.1,70.8,65,915,1013.6
Stanford Met Tower,8/5/26,1330,6.3,71,66,920,1013.6
Stanford Met Tower,8/5/26,1315,6.3,70.6,68,920,1013.9
Stanford Met Tower,8/5/26,1300,6.1,71.5,70,917,1013.9
Stanford Met Tower,8/5/26,1245,4.8,70.7,67,911,1013.9
Stanford Met Tower,8/5/26,1230,6,70,71,900,1013.9
Stanford Met Tower,8/5/26,1215,5.9,71.5,65,885,1013.9
Stanford Met Tower,8/5/26,1200,5.1,71.4,66,866,1014.2
Stanford Met Tower,8/5/26,1145,4.1,70.3,67,844,1014.3
Stanford Met Tower,8/5/26,1130,3.6,69.5,68,821,1014.4
Stanford Met Tower,8/5/26,1115,4.4,69.2,68,793,1014.5
Stanford Met Tower,8/5/26,1100,4.2,69.6,68,763,1014.6
Stanford Met Tower,8/5/26,1045,2.4,69,70,731,1014.6
Stanford Met Tower,8/5/26,1030,3.7,68.4,71,696,1014.8
Stanford Met Tower,8/5/26,1015,4.2,67.4,73,657,1014.9
Stanford Met Tower,8/5/26,1000,3.1,65.5,75,630,1015
Stanford Met Tower,8/5/26,0945,3.3,65.2,76,618,1015.2
Stanford Met Tower,8/5/26,0930,2.7,64.2,78,374,1015.5
Stanford Met Tower,8/5/26,0915,3.4,64.1,81,296,1015.4
Stanford Met Tower,8/5/26,0900,1.9,64.2,80,407,1015.4
Stanford Met Tower,8/5/26,0845,0.8,63.6,82,279,1015.3
Stanford Met Tower,8/5/26,0830,0.4,63,83,151,1015.2
Stanford Met Tower,8/5/26,0815,2.9,62.2,84,123,1015
Stanford Met Tower,8/5/26,0800,2.6,62.6,84,94,1014.9
Stanford Met Tower,8/5/26,0745,1.1,62.4,84,73,1014.9
Stanford Met Tower,8/5/26,0730,1.6,62.4,84,55,1014.7
Stanford Met Tower,8/5/26,0715,0.1,62.3,84,41,1014.7
Stanford Met Tower,8/5/26,0700,1.3,62.2,83,26,1014.6
Stanford Met Tower,8/5/26,0645,0,62.1,84,10,1014.3
Stanford Met Tower,8/5/26,0630,0.3,62.1,85,3,1014.3
Stanford Met Tower,8/5/26,0615,0.3,61.9,85,1,1014.2
Stanford Met Tower,8/5/26,0600,1.7,61.9,85,0,1014.1
Stanford Met Tower,8/5/26,0545,1.5,61.9,86,0,1014.1
Stanford Met Tower,8/5/26,0530,2,61.9,85,0,1014
Stanford Met Tower,8/5/26,0515,0.8,62.2,85,0,1013.9
Stanford Met Tower,8/5/26,0500,0.8,62.3,85,0,1013.9
Stanford Met Tower,8/5/26,0445,2,62.6,84,0,1013.9
Stanford Met Tower,8/5/26,0430,1.6,62.6,85,0,1013.8
Stanford Met Tower,8/5/26,0415,1.9,62.8,84,0,1013.8
Stanford Met Tower,8/5/26,0400,1.5,63.2,85,0,1013.7
Stanford Met Tower,8/5/26,0345,2,63.2,84,0,1013.7
Stanford Met Tower,8/5/26,0330,2.6,63.3,86,0,1013.8
Stanford Met Tower,8/5/26,0315,2.2,63.1,87,0,1013.8
Stanford Met Tower,8/5/26,0300,0.8,63.1,87,0,1013.9
Stanford Met Tower,8/5/26,0245,1.8,62.8,87,0,1013.8
Stanford Met Tower,8/5/26,0230,3.2,62.9,86,0,1013.8
Stanford Met Tower,8/5/26,0215,1.8,62.7,88,0,1013.7
Stanford Met Tower,8/5/26,0200,2.7,62.8,88,0,1013.7
Stanford Met Tower,8/5/26,0145,4,62.9,88,0,1013.7
Stanford Met Tower,8/5/26,0130,4.8,63,87,0,1013.9
Stanford Met Tower,8/5/26,0115,4.3,63.3,86,0,1013.9
Stanford Met Tower,8/5/26,0100,4.4,63.2,86,0,1013.8
Stanford Met Tower,8/5/26,0045,2.4,63.2,86,0,1013.9
Stanford Met Tower,8/5/26,0030,2.8,62.8,85,0,1013.9
Stanford Met Tower,8/5/26,0015,2.8,62.4,86,0,1013.9
Stanford Met Tower,8/5/26,0000,3.4,62,86,0,1013.9
Stanford Met Tower,8/4/26,2345,2.9,61.4,89,0,1013.9
Stanford Met Tower,8/4/26,2330,4,60.7,89,0,1013.8
Stanford Met Tower,8/4/26,2315,4.6,60.1,92,0,1013.9
Stanford Met Tower,8/4/26,2300,1.9,59.5,93,0,1013.8
Stanford Met Tower,8/4/26,2245,0.2,60.4,91,0,1013.9
Stanford Met Tower,8/4/26,2230,1,60.7,89,0,1013.7
Stanford Met Tower,8/4/26,2215,1.5,62,86,0,1013.6
Stanford Met Tower,8/4/26,2200,1.2,62.3,85,0,1013.3
Stanford Met Tower,8/4/26,2145,3.1,63.5,80,0,1013.1
Stanford Met Tower,8/4/26,2130,3.2,63.4,81,0,1012.8
Stanford Met Tower,8/4/26,2115,1.7,63.4,81,0,1012.5
Stanford Met Tower,8/4/26,2100,2.6,64.1,80,0,1012.2
Stanford Met Tower,8/4/26,2045,2.6,64.9,78,0,1012
Stanford Met Tower,8/4/26,2030,3.8,65.8,75,2,1011.8
Stanford Met Tower,8/4/26,2015,4.8,66.6,72,7,1011.6
Stanford Met Tower,8/4/26,2000,5.4,67.8,71,27,1011.3
Stanford Met Tower,8/4/26,1945,3.7,69,72,68,1011.1
Stanford Met Tower,8/4/26,1930,5.1,69.5,72,114,1010.9
Stanford Met Tower,8/4/26,1915,4.5,70.2,69,158,1010.8
Stanford Met Tower,8/4/26,1900,5.1,70.6,67,206,1010.6
Stanford Met Tower,8/4/26,1845,5.1,71.5,65,254,1010.6
Stanford Met Tower,8/4/26,1830,5.5,72.2,64,304,1010.6
Stanford Met Tower,8/4/26,1815,6.1,73,62,353,1010.5
Stanford Met Tower,8/4/26,1800,4.7,74.1,62,403,1010.4
Stanford Met Tower,8/4/26,1745,5.3,74.1,61,452,1010.4
Stanford Met Tower,8/4/26,1730,6.6,74.4,60,499,1010.4
Stanford Met Tower,8/4/26,1715,6.2,74.5,59,545,1010.4
Stanford Met Tower,8/4/26,1700,7.1,75.3,60,589,1010.2
Stanford Met Tower,8/4/26,1645,7.8,75.6,60,633,1010.1
Stanford Met Tower,8/4/26,1630,5.5,76.5,58,673,1010.1
Stanford Met Tower,8/4/26,1615,5.6,77,58,712,1010
Stanford Met Tower,8/4/26,1600,6.5,76.7,59,747,1009.9
Stanford Met Tower,8/4/26,1545,5.9,76.9,58,782,1009.7
Stanford Met Tower,8/4/26,1530,5.9,77.6,58,810,1009.9
Stanford Met Tower,8/4/26,1515,6.2,77.4,55,837,1009.9
Stanford Met Tower,8/4/26,1500,6,76.6,59,860,1009.9
Stanford Met Tower,8/4/26,1445,5.4,76.9,58,880,1010
Stanford Met Tower,8/4/26,1430,6.5,76.2,60,896,1010
Stanford Met Tower,8/4/26,1415,5.9,75.9,60,910,1010.2
Stanford Met Tower,8/4/26,1400,7,75,61,918,1010.4
Stanford Met Tower,8/4/26,1345,5.8,75.5,61,924,1010.5
Stanford Met Tower,8/4/26,1330,5.9,74.2,61,928,1010.5
Stanford Met Tower,8/4/26,1315,6.3,74.6,65,928,1010.6
Stanford Met Tower,8/4/26,1300,6.5,74.9,63,923,1010.7
Stanford Met Tower,8/4/26,1245,5,74,61,915,1010.8
Stanford Met Tower,8/4/26,1230,4.6,74,62,904,1010.9
Stanford Met Tower,8/4/26,1215,5.1,72.9,66,891,1011.2
Stanford Met Tower,8/4/26,1200,5.4,72.8,66,875,1011.4
Stanford Met Tower,8/4/26,1145,4.9,71.3,67,853,1011.8
Stanford Met Tower,8/4/26,1130,4.9,70.5,69,829,1011.8
Stanford Met Tower,8/4/26,1115,2.9,71.5,67,802,1011.8
Stanford Met Tower,8/4/26,1100,3.2,71.3,65,771,1011.8
Stanford Met Tower,8/4/26,1045,2.1,70.5,71,738,1011.9
Stanford Met Tower,8/4/26,1030,2.6,68.9,70,699,1012.1
Stanford Met Tower,8/4/26,1015,3.2,67.7,73,662,1012.3
Stanford Met Tower,8/4/26,1000,0.3,66.1,80,657,1012.4
Stanford Met Tower,8/4/26,0945,0.8,65.1,80,493,1012.6
Stanford Met Tower,8/4/26,0930,2.6,64.7,82,267,1012.8
Stanford Met Tower,8/4/26,0915,1.4,64.4,82,198,1012.8
Stanford Met Tower,8/4/26,0900,1.4,63.7,84,159,1012.8
Stanford Met Tower,8/4/26,0845,1.7,63.6,84,138,1012.7
Stanford Met Tower,8/4/26,0830,2.2,63.3,84,124,1012.6
Stanford Met Tower,8/4/26,0815,2.7,62.9,85,116,1012.4
Stanford Met Tower,8/4/26,0800,1.5,62.7,87,94,1012.4
Stanford Met Tower,8/4/26,0745,2.5,62.3,87,68,1012.3
Stanford Met Tower,8/4/26,0730,1.6,61.9,90,46,1012.2
Stanford Met Tower,8/4/26,0715,0.2,61.4,92,28,1012
Stanford Met Tower,8/4/26,0700,0.2,61.3,92,17,1012
Stanford Met Tower,8/4/26,0645,0,60.7,92,8,1012
Stanford Met Tower,8/4/26,0630,0,60.8,92,3,1011.6
Stanford Met Tower,8/4/26,0615,0,60.3,92,1,1011.5
Stanford Met Tower,8/4/26,0600,0.3,60.2,91,0,1011.3
Stanford Met Tower,8/4/26,0545,0.8,59.9,90,0,1011.2
Stanford Met Tower,8/4/26,0530,0.5,59.6,89,0,1011.4
Stanford Met Tower,8/4/26,0515,0.8,59.4,90,0,1011.3
Stanford Met Tower,8/4/26,0500,0,59.3,92,0,1011.3
Stanford Met Tower,8/4/26,0445,0,59,92,0,1011.3
Stanford Met Tower,8/4/26,0430,0,58.6,94,0,1011.3
Stanford Met Tower,8/4/26,0415,0,58.1,95,0,1011.2
Stanford Met Tower,8/4/26,0400,0,57.4,95,0,1011.2
Stanford Met Tower,8/4/26,0345,1.3,56.8,95,0,1011.3
Stanford Met Tower,8/4/26,0330,0.9,56.3,95,0,1011.2
Stanford Met Tower,8/4/26,0315,0.2,56.2,95,0,1011.3
Stanford Met Tower,8/4/26,0300,0,56.6,95,0,1011.1
Stanford Met Tower,8/4/26,0245,0,57,94,0,1010.9
Stanford Met Tower,8/4/26,0230,0,58,94,0,1010.9
Stanford Met Tower,8/4/26,0215,1.2,58.3,94,0,1010.9
Stanford Met Tower,8/4/26,0200,5,58.1,93,0,1010.9
Stanford Met Tower,8/4/26,0145,2,58.7,94,0,1011
Stanford Met Tower,8/4/26,0130,1.5,58.7,94,0,1010.8
Stanford Met Tower,8/4/26,0115,2.3,58.7,95,0,1010.8
Stanford Met Tower,8/4/26,0100,2.8,58.6,94,0,1010.8
Stanford Met Tower,8/4/26,0045,4.6,59,93,0,1010.9
Stanford Met Tower,8/4/26,0030,4.1,59.4,93,0,1010.8
Stanford Met Tower,8/4/26,0015,2.4,59.6,93,0,1010.6
Stanford Met Tower,8/4/26,0000,2.7,59.9,92,0,1010.6
Stanford Met Tower,8/3/26,2345,0.1,60.9,92,0,1010.6
Stanford Met Tower,8/3/26,2330,0.1,60.8,92,0,1010.5
Stanford Met Tower,8/3/26,2315,0,61,92,0,1010.5
Stanford Met Tower,8/3/26,2300,0,61.6,90,0,1010.5
Stanford Met Tower,8/3/26,2245,0,62.1,90,0,1010.5
Stanford Met Tower,8/3/26,2230,0,62.8,88,0,1010.4
Stanford Met Tower,8/3/26,2215,0,63.3,86,0,1010.3
Stanford Met Tower,8/3/26,2200,0,64.3,83,0,1010.2
Stanford Met Tower,8/3/26,2145,0,64.9,80,0,1010.1
Stanford Met Tower,8/3/26,2130,0,65.8,78,0,1010.1
Stanford Met Tower,8/3/26,2115,2.3,66.4,77,0,1009.8
Stanford Met Tower,8/3/26,2100,2.8,67,76,0,1009.6
Stanford Met Tower,8/3/26,2045,3.7,67.4,76,0,1009.4
Stanford Met Tower,8/3/26,2030,2.8,68,75,2,1009.2
Stanford Met Tower,8/3/26,2015,3.7,68.6,74,9,1009
Stanford Met Tower,8/3/26,2000,4.9,69.5,71,29,1008.7
Stanford Met Tower,8/3/26,1945,3.9,70.7,70,70,1008.5
Stanford Met Tower,8/3/26,1930,4.5,71.8,68,116,1008.4
Stanford Met Tower,8/3/26,1915,3.8,72.9,66,160,1008.2
Stanford Met Tower,8/3/26,1900,3.6,73.9,64,206,1008.1
Stanford Met Tower,8/3/26,1845,4.8,74.7,62,255,1008
Stanford Met Tower,8/3/26,1830,3.6,75.9,61,306,1007.9
Stanford Met Tower,8/3/26,1815,4.2,76.7,58,358,1007.8
Stanford Met Tower,8/3/26,1800,4.8,77.4,58,407,1007.7
Stanford Met Tower,8/3/26,1745,3.8,77.5,58,457,1007.6
Stanford Met Tower,8/3/26,1730,5.5,78,58,504,1007.7
Stanford Met Tower,8/3/26,1715,5.5,77.9,57,550,1007.6
Stanford Met Tower,8/3/26,1700,5.3,79,55,594,1007.7
Stanford Met Tower,8/3/26,1645,6.7,79.6,54,638,1007.6
Stanford Met Tower,8/3/26,1630,6.2,80.5,51,676,1007.5
Stanford Met Tower,8/3/26,1615,6.8,80.6,51,717,1007.3
Stanford Met Tower,8/3/26,1600,5.5,81.9,51,753,1007.3
Stanford Met Tower,8/3/26,1545,6.8,81.9,50,785,1007.2
Stanford Met Tower,8/3/26,1530,6.1,82.7,51,817,1007.1
Stanford Met Tower,8/3/26,1515,5.6,82.8,51,845,1007.1
Stanford Met Tower,8/3/26,1500,5.4,82.3,50,869,1007.2
Stanford Met Tower,8/3/26,1445,6,82.1,51,888,1007.3
Stanford Met Tower,8/3/26,1430,6,81.6,52,906,1007.4
Stanford Met Tower,8/3/26,1415,4.9,82.2,49,923,1007.4
Stanford Met Tower,8/3/26,1400,6.2,82.9,48,934,1007.5
Stanford Met Tower,8/3/26,1345,6,82.2,51,941,1007.7
Stanford Met Tower,8/3/26,1330,4.3,82.5,49,944,1007.8
Stanford Met Tower,8/3/26,1315,6,81.3,50,943,1007.9
Stanford Met Tower,8/3/26,1300,5.7,81.6,52,941,1007.9
Stanford Met Tower,8/3/26,1245,3.7,82.1,51,933,1007.9
Stanford Met Tower,8/3/26,1230,2.2,81.4,52,924,1008.2
Stanford Met Tower,8/3/26,1215,0.8,81.5,49,910,1008.4
Stanford Met Tower,8/3/26,1200,1.5,80.5,53,893,1008.7
Stanford Met Tower,8/3/26,1145,1.5,78.6,53,869,1008.9
Stanford Met Tower,8/3/26,1130,2.5,77.6,55,844,1009.2
Stanford Met Tower,8/3/26,1115,1.3,77.2,57,816,1009.3
Stanford Met Tower,8/3/26,1100,1.7,75.5,59,783,1009.5
Stanford Met Tower,8/3/26,1045,0.8,73.6,58,748,1009.6
Stanford Met Tower,8/3/26,1030,2.1,71.8,62,712,1009.9
Stanford Met Tower,8/3/26,1015,0.4,72.7,61,673,1010.1
Stanford Met Tower,8/3/26,1000,1.1,71.7,62,626,1010.3
Stanford Met Tower,8/3/26,0945,1,70.2,65,586,1010.5
Stanford Met Tower,8/3/26,0930,0.2,68.2,70,539,1010.9
Stanford Met Tower,8/3/26,0915,0,67.6,72,491,1011.1
Stanford Met Tower,8/3/26,0900,0,65.7,76,443,1011.3
Stanford Met Tower,8/3/26,0845,0.1,64.5,79,394,1011.4
Stanford Met Tower,8/3/26,0830,0,63.4,80,341,1011.6
Stanford Met Tower,8/3/26,0815,0.2,63.2,82,291,1011.4
Stanford Met Tower,8/3/26,0800,0,61.4,82,238,1011.5
Stanford Met Tower,8/3/26,0745,0.5,58.7,84,191,1011.6
Stanford Met Tower,8/3/26,0730,3.1,57.4,88,147,1011.7
Stanford Met Tower,8/3/26,0715,2.4,55.5,91,104,1011.7
Stanford Met Tower,8/3/26,0700,4.6,54,92,63,1011.6
Stanford Met Tower,8/3/26,0645,4.7,53,95,27,1011.4
Stanford Met Tower,8/3/26,0630,5.4,52.4,94,9,1011.3
Stanford Met Tower,8/3/26,0615,5.5,52.7,95,2,1011.2
Stanford Met Tower,8/3/26,0600,3.9,51.8,95,0,1011
Stanford Met Tower,8/3/26,0545,3.1,52.2,96,0,1010.9
Stanford Met Tower,8/3/26,0530,5.2,51.8,95,0,1010.9
Stanford Met Tower,8/3/26,0515,4,51.8,94,0,1010.9
Stanford Met Tower,8/3/26,0500,1.6,53.4,96,0,1010.8
Stanford Met Tower,8/3/26,0445,3.3,52.8,95,0,1010.8
Stanford Met Tower,8/3/26,0430,5.6,52.9,94,0,1010.8
Stanford Met Tower,8/3/26,0415,1.6,53.6,94,0,1010.8
Stanford Met Tower,8/3/26,0400,1.9,54.3,95,0,1010.8
Stanford Met Tower,8/3/26,0345,3.4,54.1,93,0,1010.8
Stanford Met Tower,8/3/26,0330,3.7,54.6,92,0,1010.7
Stanford Met Tower,8/3/26,0315,2.3,55.2,93,0,1010.7
Stanford Met Tower,8/3/26,0300,2.9,55,94,0,1010.7
Stanford Met Tower,8/3/26,0245,3.4,55.3,94,0,1010.7
Stanford Met Tower,8/3/26,0230,2.6,55.6,95,0,1010.8
Stanford Met Tower,8/3/26,0215,3.7,55.5,94,0,1010.7
Stanford Met Tower,8/3/26,0200,2.5,56.6,95,0,1010.6
Stanford Met Tower,8/3/26,0145,2.6,56.4,95,0,1010.6
Stanford Met Tower,8/3/26,0130,3.5,56.9,95,0,1010.7
Stanford Met Tower,8/3/26,0115,2.8,57.3,95,0,1010.6
Stanford Met Tower,8/3/26,0100,0,58.1,94,0,1010.8
Stanford Met Tower,8/3/26,0045,0,58.8,94,0,1010.7
Stanford Met Tower,8/3/26,0030,0,59.2,94,0,1010.6
Stanford Met Tower,8/3/26,0015,0,59.7,92,0,1010.6
Stanford Met Tower,8/3/26,0000,0,60.7,92,0,1010.6
Stanford Met Tower,8/2/26,2345,0.3,61.3,91,0,1010.6
Stanford Met Tower,8/2/26,2330,1.9,62.1,89,0,1010.7
Stanford Met Tower,8/2/26,2315,4.1,62.9,88,0,1010.7
Stanford Met Tower,8/2/26,2300,4.9,62.3,89,0,1010.8
Stanford Met Tower,8/2/26,2245,4.1,62.4,91,0,1010.9
Stanford Met Tower,8/2/26,2230,3,63.6,88,0,1010.8
Stanford Met Tower,8/2/26,2215,1.8,64.7,85,0,1010.6
Stanford Met Tower,8/2/26,2200,2,66.3,80,0,1010.5
Stanford Met Tower,8/2/26,2145,3,65.9,81,0,1010.3
Stanford Met Tower,8/2/26,2130,0.1,65.5,83,0,1010.3
Stanford Met Tower,8/2/26,2115,0.1,66.2,80,0,1010.1
Stanford Met Tower,8/2/26,2100,0,67.6,76,0,1010
Stanford Met Tower,8/2/26,2045,3.1,69.2,72,0,1009.9
Stanford Met Tower,8/2/26,2030,4.3,70.2,69,3,1009.7
Stanford Met Tower,8/2/26,2015,3,71.8,66,8,1009.6
Stanford Met Tower,8/2/26,2000,3.4,72.7,63,31,1009.6
Stanford Met Tower,8/2/26,1945,4.1,73.8,63,73,1009.5
Stanford Met Tower,8/2/26,1930,5.2,74.6,61,120,1009.4
Stanford Met Tower,8/2/26,1915,4.8,76.1,58,165,1009.2
Stanford Met Tower,8/2/26,1900,4.6,78.4,53,211,1009.1
Stanford Met Tower,8/2/26,1845,5,79.1,52,260,1009.1
Stanford Met Tower,8/2/26,1830,4.4,81.2,49,308,1009
Stanford Met Tower,8/2/26,1815,4.1,81.9,49,359,1008.9
Stanford Met Tower,8/2/26,1800,5.2,82.7,46,408,1008.8
Stanford Met Tower,8/2/26,1745,5.7,83.5,47,460,1008.8
Stanford Met Tower,8/2/26,1730,5.5,84.8,45,507,1008.7
Stanford Met Tower,8/2/26,1715,5.4,85.6,43,557,1008.6
Stanford Met Tower,8/2/26,1700,4,86.2,42,597,1008.6
Stanford Met Tower,8/2/26,1645,3.7,86.3,43,639,1008.6
Stanford Met Tower,8/2/26,1630,3.2,85.6,44,680,1008.7
Stanford Met Tower,8/2/26,1615,4.4,85,44,722,1008.7
Stanford Met Tower,8/2/26,1600,5.7,84.1,45,762,1008.6
Stanford Met Tower,8/2/26,1545,5.7,83.9,47,796,1008.7
Stanford Met Tower,8/2/26,1530,3.5,84.7,42,828,1008.7
Stanford Met Tower,8/2/26,1515,4.5,83.5,46,860,1008.8
Stanford Met Tower,8/2/26,1500,4.5,83.8,47,888,1009
Stanford Met Tower,8/2/26,1445,4.8,82.8,49,908,1009.2
Stanford Met Tower,8/2/26,1430,5.9,82.1,48,924,1009.3
Stanford Met Tower,8/2/26,1415,4.7,81.8,50,937,1009.5
Stanford Met Tower,8/2/26,1400,4.8,81.6,50,946,1009.7
Stanford Met Tower,8/2/26,1345,4.2,81.3,50,950,1009.9
Stanford Met Tower,8/2/26,1330,4.6,80.2,51,952,1010.2
Stanford Met Tower,8/2/26,1315,5.9,79.3,55,951,1010.4
Stanford Met Tower,8/2/26,1300,5,79.8,56,947,1010.5
Stanford Met Tower,8/2/26,1245,3.8,80.1,57,940,1010.8
Stanford Met Tower,8/2/26,1230,3.5,80.9,54,930,1010.9
Stanford Met Tower,8/2/26,1215,2.8,79.6,54,915,1011.1
Stanford Met Tower,8/2/26,1200,4,77.5,56,897,1011.4
Stanford Met Tower,8/2/26,1145,2.7,77.5,57,872,1011.6
Stanford Met Tower,8/2/26,1130,1.1,77.8,54,851,1011.7
Stanford Met Tower,8/2/26,1115,1,75.8,55,823,1012
Stanford Met Tower,8/2/26,1100,1,76.5,52,792,1012.2
Stanford Met Tower,8/2/26,1045,1.1,75.8,55,760,1012.5
Stanford Met Tower,8/2/26,1030,0.3,74.3,57,723,1012.7
Stanford Met Tower,8/2/26,1015,0.3,71.5,63,683,1013
Stanford Met Tower,8/2/26,1000,0.8,70.6,66,641,1013.2
Stanford Met Tower,8/2/26,0945,0.5,68.3,72,598,1013.5
Stanford Met Tower,8/2/26,0930,1,67.8,73,551,1013.9
Stanford Met Tower,8/2/26,0915,0.8,67.4,71,504,1014.2
Stanford Met Tower,8/2/26,0900,0.3,65.4,78,455,1014.3
Stanford Met Tower,8/2/26,0845,1.1,65.3,77,404,1014.4
